OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1519.0	328.0	220.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	23.0	41.0	18.0	3717.0	349.0	0.0	77.0	17.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014	0.0	20.0	0.0	0.0	0.0	0.0	0.0	2804.0	0.0	3094.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.0	0.0	327.0	132.0	0.0	0.0	10.0	0.0	29.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	0.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.0	46.0	0.0	116.0	0.0	254.0	0.0	18.0	0.0	0.0	94.0	0.0	0.0	216.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	0.0	57.0	0.0	0.0	0.0	156.0	125.0	0.0	34.0	37.0	0.0	0.0	0.0	0.0	197.0	98.0	0.0	1341.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	15.0	0.0	36.0	3694.0	0.0	340.0	0.0	0.0	830.0	30.0	125.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	27.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1207.0	1969.0	62.0	318.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1114.0	2364.0	0.0	3414.0	0.0	2.0	36.0	3.0	0.0	855.0	0.0	0.0	241.0	4387.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	102.0	295.0	2.0	217.0	1268.0	0.0	0.0	8.0	0.0	4.0	0.0	0.0	27.0	0.0	59.0	0.0	206.0	2.0	0.0	0.0	45.0	109.0	221.0	19.0	0.0	0.0	40.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	1424.0	6473.0	235.0	47.0	3978.0	12960.0	396.0	2722.0	11691.0	660.0	206.0	8167.0	3652.0	21927.0	6009.0	2806.0	130.0	70.0	806.0	1665.0	16276.0	4208.0	2917.0	1912.0	1925.0	2787.0	1677.0	1000.0	190.0	682.0	108.0	529.0	2354.0	956.0	12031.0	56.0	8364.0	10018.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	3.0	32.0	0.0	0.0	24.0	0.0	0.0	48.0	0.0	45.0	0.0	0.0	232.0	38.0	0.0	14.0	0.0	13.0	23.0	3.0	15.0	0.0	9734.0	0.0	1245.0	258.0	1699.0	0.0	8.0	5.0	0.0	3155.0	129.0	0.0	15278.0	0.0	764.0	70.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2980.0	34996.0	3930.0	2723.0	24.0	956.0	0.0	8059.0	12.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	15.0	10.0	0.0	110.0	1350.0	0.0	1495.0	1323.0	0.0	1224.0	347.0	0.0	66.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	0.0	408.0	3.0	49.0	0.0	0.0	0.0	7663.0	0.0	4176.0	117.0	23332.0	0.0	0.0	0.0	89.0	0.0	389.0	0.0	0.0	0.0	1277.0	1319.0	0.0	0.0	0.0	0.0	17.0	843.0	2194.0	116.0	4905.0	0.0	823.0	158.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerofilum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	294.0	2434.0	23.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1312.0	0.0	0.0	390.0	0.0	22.0	13.0	836.0	86.0	1104.0	6.0	499.0	49.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	2625.0	121.0	0.0	0.0	249.0	293.0	0.0	81.0	2488.0	0.0	11.0	718.0	2296.0	13669.0	1284.0	32.0	0.0	5.0	0.0	1504.0	146.0	17.0	581.0	0.0	369.0	38.0	321.0	674.0	0.0	1246.0	173.0	683.0	20.0	0.0	0.0	462.0	97.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2751.0	16.0	618.0	44.0	5.0	0.0	0.0	0.0	155.0	0.0	0.0	0.0	0.0	0.0	681.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	0.0	1549.0	0.0	0.0	77.0	52.0	0.0	0.0	0.0
