SampleID	Actinobacteriota;Actinobacteria;Actinomycetales	Actinobacteriota;Actinobacteria;Bifidobacteriales	Actinobacteriota;Actinobacteria;Corynebacteriales	Actinobacteriota;Actinobacteria;Micrococcales	Actinobacteriota;Coriobacteriia;Coriobacteriales	Bacteroidota;Bacteroidia;Bacteroidales	Bacteroidota;Bacteroidia;Flavobacteriales	Campilobacterota;Campylobacteria;Campylobacterales	Cyanobacteria;Vampirivibrionia;Gastranaerophilales	Desulfobacterota;Desulfovibrionia;Desulfovibrionales	Elusimicrobiota;Elusimicrobia;Elusimicrobiales	Firmicutes;Bacilli;Acholeplasmatales	Firmicutes;Bacilli;Bacillales	Firmicutes;Bacilli;Erysipelotrichales	Firmicutes;Bacilli;Lactobacillales	Firmicutes;Bacilli;RF39	Firmicutes;Bacilli;Staphylococcales	Firmicutes;Clostridia;__	Firmicutes;Clostridia;Christensenellales	Firmicutes;Clostridia;Clostridia	Firmicutes;Clostridia;Clostridia_UCG-014	Firmicutes;Clostridia;Clostridia_vadinBB60_group	Firmicutes;Clostridia;Clostridiales	Firmicutes;Clostridia;Eubacteriales	Firmicutes;Clostridia;Lachnospirales	Firmicutes;Clostridia;Monoglobales	Firmicutes;Clostridia;Oscillospirales	Firmicutes;Clostridia;Peptococcales	Firmicutes;Clostridia;Peptostreptococcales-Tissierellales	Firmicutes;Incertae_Sedis;DTU014	Firmicutes;Negativicutes;Acidaminococcales	Firmicutes;Negativicutes;Veillonellales-Selenomonadales	Fusobacteriota;Fusobacteriia;Fusobacteriales	Patescibacteria;Saccharimonadia;Saccharimonadales	Proteobacteria;Alphaproteobacteria;Rhizobiales	Proteobacteria;Alphaproteobacteria;Rhodospirillales	Proteobacteria;Gammaproteobacteria;Aeromonadales	Proteobacteria;Gammaproteobacteria;Burkholderiales	Proteobacteria;Gammaproteobacteria;Enterobacterales	Proteobacteria;Gammaproteobacteria;Pasteurellales	Proteobacteria;Gammaproteobacteria;Pseudomonadales	Synergistota;Synergistia;Synergistales	Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales
CCN2	0	0.063440882	0	0	0.020209074	0.000985808	0	0	0	0	0	0	0	0.110903452	0.339302951	0	0.000472367	0	0.004703128	0	0	0	0.046784827	0.000123226	0.23757984	0.005442484	0.040294921	0	0.116099485	0	0	0.001478713	0	0.000164301	0	0	0.000123226	0	0.011891315	0	0	0	0
CCN20	0.002197937	0.049424905	0	0	0.061037655	0.181454002	0	0	0	0	0	0	3.82E-05	0.006169513	0.032414787	0	0.000695695	0	5.35E-05	0	0	0	4.20E-05	0	0.537045744	0	0.108937384	0	0.001165862	0	0.000194947	0.018172158	3.06E-05	0	1.91E-05	0	0	6.50E-05	6.88E-05	0	0	0	0.000772145
CCN3	0.000108725	0.029157977	0	0	0.035809949	0.14400087	0	0	0.001818667	0.000405246	0	0	0	0.049489488	0.039061805	0	0.000504087	0	0.00073142	0	0	0	0.021982149	0.000138377	0.44266751	0.001423305	0.075306653	0	0.010991075	0	0.004961798	0	0.0058909	4.94E-05	0	0.002807073	0	0.002668696	0.107686833	0.002293102	0	0	0.020044874
CCN4	0.001219446	0.230791466	0	0.00083103	0	0.000722635	0	4.52E-05	0	0	0	0	4.52E-05	0.123471176	0.198561957	0	0.001065886	0	0	0	0	0	0.000415515	0	0.029609958	0	0	0	0	0	0	0.201389265	0	0	0	0	0	2.71E-05	0.211460987	0.000343251	0	0	0
CCN5	0.000574472	0.137347497	0	0.001733153	0.001694206	0.070309533	0	0.010194444	0	0.001363154	0	0	0	0.034887004	0.06570402	0	0.000623156	0	9.74E-05	0	0	0	0.000632893	0	0.201834416	0	0.01476101	0	0.023270985	0	0	0.135205398	0.002190783	0.000778945	0	0	9.74E-05	0.001674732	0.269008695	0	0.005160511	0	0.020856255
CCN6	0.001261397	0.000794213	4.67E-05	0	0.001035592	0.009522771	0	0	0	0.000101223	0	0	0.00010901	0.010169043	0.026637286	0	0.000646271	0	0.000334815	0	0	0	0.000155728	0	0.011547236	1.56E-05	0.004251376	0	0.000327029	0	0.000295883	0.003885415	0.001977746	0.001230252	0	0	0	0.002818678	0.921014724	0.00010901	6.23E-05	0.000482757	0.000926582
CCN7	0	8.43E-05	0	0	2.81E-05	0.00275268	0	0	0	0	0	0	0	0	0.001460606	0	7.49E-05	0	0	0	0	0	5.62E-05	0	0	0	0	0	7.49E-05	0	0	0.001067366	0.000627311	0	0	0	0	0	0.9937737	0	0	0	0
CCN8a	0	0.014546945	0	0.000440506	0.000676126	0.367607437	0	0	0	0	0	0	0	0.000604415	0.001587871	0	0	0	0	0	0	0	0.000655637	0	0.015847974	0	0.048179071	0	0	0	0.001055166	0.034410695	0.000204887	0	0	0	0	0.00106541	0.512370025	0.000133176	0	0	0.00061466
CCN9	0	0.022304833	0	0	0.11279593	0.134676841	0	0	0	0	0	0	0	0	0.013483989	0	0.002625057	0	0	0	0	0	0.000538055	0	0.000260875	0	0.000130438	0	0	0	0	0.38907911	0	0	3.26E-05	0	0	0.000146742	0.323550512	0.000375008	0	0	0
CCP1	0	0.807991378	0	0.000185415	0.032783656	0.000115884	0	0	0	0	0	0	5.79E-05	0.017428992	0.0383461	0	0.000359241	0	0	0	0	0	0.000788013	0	0.061522951	0	0.000173826	0	0.009166445	0	0	0.024092337	0	0.000185415	0	0	0	0.000231769	0.006535872	3.48E-05	0	0	0
CCP10	0.000421668	0.003102269	0	0.004623285	0.000225893	0.020706896	0	0.00307215	0	0	0	0	0	0.002334232	0.48253844	0	0.000301191	0	0	0	3.01E-05	0	4.52E-05	0	0.010857943	0	0.003313103	0	0	0	0	0.006641266	0	0.00069274	0	0	0	0	0.460009337	0.000225893	0	0	0.000858395
CCP12	0	0.069857297	0	0	0.005649718	0.334003057	0	0.000446482	0	0.000223241	0	0	0	0.019490667	0.072261433	0	0	0	0	0	0	0	0.000206069	0	0.25913142	0.006800268	0.118678413	0	0.002816273	0	0	0.059622551	0.000171724	0	0	0	0	0.00322841	0.010698401	0	0	0	0.036714578
CCP13	0.000151526	0.008705834	0	0.000179076	0.001088229	0.17800124	0	0.000978029	0	0	0	0	0	0.041793512	0.040719058	0	5.51E-05	0	0	0	0	0	0.000606102	0.000234176	0.122418899	0	0.137351057	0	0.004077416	0	0	0.073007783	0.142007025	0	0	0	0	0.000730078	0.113809491	0.13408637	0	0	0
CCP14	0	0.470368123	0	0.000134844	0	0.009540183	0	0.140709277	0	0	0	0	0	0	0.307780475	0	0.000505663	0	0	0	0	0	0.001618123	0	0	0	0	0	0	0	0	0.005596009	0	0	0	0	0	0	0.063747303	0	0	0	0
CCP15	0.001815541	0.01503268	0	0.002541757	0.003413217	0.02110869	0	0.002396514	0	0	0	0	0	0.096126846	0.051222464	0	0.00191237	0	0	0	0	0	0.062212539	0	0.213749697	0.001161946	0.269305253	0	0.018034374	0	0	0.155942871	0.030283224	0.00147664	0	0	0	0.005543452	0.009465021	0.030137981	0	0	0.007116921
CCP16	0	0.020235555	0	0.000237135	0	0.015453324	0	0.430598372	0	0	0	0	0.000829974	0.001501858	0.110821279	0	0.00015809	0	0	0	0	0	0.001818038	0	0.041419651	0	0.001264722	0	0.000829974	0	0	0.037506916	0	0	0.000276658	0	0	0.001738993	0.324835981	0.010196822	0	0	0.000276658
CCP17	0	0.000388251	0	0.000168805	0	0.248835246	0	0.015698852	0	0.000118163	0	0	0	0.006347063	0.079118839	0	0.000101283	0	0	0	0	0	0.0013842	0	0.040496286	0	0.021438217	0	0.002920324	0	0	0.082089804	0.004945982	0.000219446	0	0	0.000118163	0.012694126	0.445273464	0.030266712	0.000405132	0	0.006971641
CCP18	0	0.024211094	0	0	0.002802291	0.509390284	0	0	0	0.000348111	0	0	6.96E-05	0.012688632	0.017666614	0	8.70E-05	0	6.96E-05	0	0	0	0.00147947	0	0.1447444	0	0.068699633	0	0.004508033	0	0	0.004960576	0.000400327	0	0.000121839	0	0	8.70E-05	0.135919795	0	0	0	0.071745601
CCP19	0.000501013	0.001808003	0	0.000130699	0.002810029	0.496983031	0	0	0.000261398	0.007166663	0	0	0	0.015357135	0.005816106	0.00357244	0.000217832	0	0.006229987	0	0.010412355	0.000130699	0.003136777	0.000174265	0.154856558	0	0.075587601	0	0.000914893	0	0	0.019735552	0	6.53E-05	0	0	0.004618032	0.011915394	0.176095149	0.000174265	0	0	0.001241641
CCP2	0.00159077	0.254346499	0	0.00040171	0.031638654	0.39430215	0	0.00339043	0	0	0	0	0	0.02002121	0.023331298	0	0.00099624	0	0	0	0	0	0.00059453	0	0.073609281	0	0.037005495	0	0	0	0	0.061092008	0	0.000112479	0	0	0	0.001735386	0.070797313	8.03E-05	0.024954205	0	0
CCP20a	0.00298731	0.061303693	0	5.96E-05	0.005540567	0.308978102	0.000408521	5.11E-05	1.70E-05	0.006195903	0.000144685	0.000119152	0	0.013413108	0.005157578	0.000170217	2.55E-05	0.000289369	0.008978953	7.66E-05	0.00278305	7.66E-05	0.010417287	0.000221282	0.14254832	0.000204261	0.124386155	0.000170217	0.017762156	3.40E-05	0.00745551	0.009395985	0.002255377	0	0	0.000842575	0	0.001966008	0.046265011	0	0	0.000365967	0.21406504
CCP3	0.001025008	0.034419298	0	0.000186365	0.002946898	0.309773683	0	0.001700581	0	0.000512504	0	0	0	0.066252781	0.006848916	0	0.000256252	0	0	0	0.001537512	0	0.000221309	0	0.337239235	0.004041792	0.115592932	0	0.001910242	0	0.006441243	0.032054791	0.002620759	0.001094895	0	0	0	0.012812598	0.004752309	0.036748861	0	0	0.019009237
CCP4	0.000236292	0.117591461	3.08E-05	0.000482859	0.000184925	0.352517542	0	0.143398708	0	0	0	0	0	0.000205472	0.064723589	0	0.002075264	0	0	0	0	0	0.000770519	0.00014383	0.036378767	0	2.05E-05	0	0.00028766	0	0	0.176952238	0.02240669	0.000123283	2.05E-05	0	0	0.008640085	0.070908288	0.001900613	0	0	0
CCP5	0	0.0484614	0	0	0.010709371	0.099794587	0	3.99E-05	0	0	0	0	0	0.00504557	0.257643141	0.000458688	0	0	0.012703668	0	0	0	0.002133897	0	0.155295854	0.001017091	0.135392777	0	0.017529865	0	0	0.005703687	0	0	0	0	0	0	0.235665995	0	0	0.000179487	0.012225036
CCP6a	0.00027231	0.006382273	0	0.000374427	0.000399956	0.084126863	6.81E-05	0.017044923	0	0.000433995	0	0	0	0.037451176	0.123688443	0	0.000136155	0	0	0	8.51E-05	0	0.013811238	0	0.04659059	3.40E-05	0.0508114	0	0.000102116	0	0	0.373448044	0.004790959	0.000995635	0	0	0	0.026073711	0.07128573	0.130011148	0	0.000433995	0.011147703
CCP7	0	0.000541734	0	0	0	0.000245313	0	0.001451438	0	0	0	0	0	0.004722285	0.082353783	0	9.20E-05	0	0	0	0	0	0.10606742	0	0.017488808	0	0	0	7.15E-05	0	0	0.247940389	0	0	0	0	0	0	0.539025288	0	0	0	0
CCP8	0.002420104	0.000392449	0	0.0020669	0.000994205	0.275473228	0	0.000601756	0	0	0	0	0	0.00183143	0.110291328	0	0.004434677	0	0	0	0.000379368	0	0.00023547	0	0.029878472	0	0.005219575	0	0.001452062	0	0	0.505291524	0.004578575	0.026856612	0	0	0	0.002079981	0.015331685	0.009994375	9.16E-05	0	0.000104653
CCP9	0.000878937	0.190520661	0	0.005460398	0.00073611	0.008536679	0	0.044957646	0	0	0	0	0	0	0.681934541	0	0.000373548	0	0	0	0	0	0	0	3.30E-05	0	0	0	0	0	0.002318197	0.057559411	0.000593283	0	0	0	0	3.30E-05	0.005295598	0.00076907	0	0	0
