OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae	3.0	32.0	0.0	0.0	24.0	0.0	0.0	48.0	0.0	45.0	0.0	0.0	232.0	38.0	0.0	14.0	0.0	13.0	23.0	3.0	15.0	0.0	9734.0	0.0	1245.0	258.0	1793.0	0.0	8.0	5.0	0.0	3155.0	185.0	0.0	15278.0	0.0	764.0	70.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	0.0	146.0	0.0	0.0	0.0	0.0	0.0	146.0	17.0	351.0	0.0	77.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	1601.0	0.0	0.0	71.0	19.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	1747.0	309.0	0.0	0.0	0.0	0.0	0.0	3219.0	3074.0	316.0	288.0	334.0	921.0	0.0	0.0	77.0	0.0	51.0	6918.0	2824.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	158.0	33.0	1213.0	380.0	171.0	0.0	364.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1286.0	361.0	42.0	566.0	7.0	76.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	2.0	0.0	373.0	0.0	0.0	180.0	12.0	0.0	3.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	989.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	20.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Incertae_Sedis;o__DTU014;f__DTU014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	6.0	798.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	8.0	596.0	0.0	95.0	56.0	67.0	20.0	0.0	0.0	0.0	10.0	10309.0	0.0	1251.0	0.0	184.0	23.0	0.0	0.0	223.0	221.0	2181.0	0.0	71.0	0.0	308.0	54.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	71911.0	3955.0	10700.0	377.0	3847.0	16613.0	10193.0	7611.0	12747.0	522.0	3089.0	12930.0	2950.0	25550.0	14106.0	102.0	9.0	1420.0	1368.0	69724.0	206.0	4068.0	632.0	13953.0	621.0	512.0	23.0	1391.0	83.0	15829.0	7203.0	2955.0	11446.0	2430.0	750.0	53.0	30.0	17341.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
